"SSN","Site","Cluster","Plot","Depth","Longitude","Latitude","SSN.XRPD","Quartz","Kaolinite","Goethite","K-feldspar","Plagioclase","Smectite (ML)","Organic matter","Halloysite","Mica (Tri)","Gibbsite","Ferrihydrite","Illite","Opal","Glass","Pyroxene","Ilmenite","Amphibole","Hematite","Maghemite","Vermiculite","Dickite","Muscovite","Mica (Di)","Magnetite","Calcite","Magnesite","Rutile","Smectite (Di)","Anatase","Olivine","Anhydrite","Apatite","Ankerite","Glauconite","Corundum","Palygorskite","Humic","Bassanite","Dolomite","Gypsum","Cristobalite","Siderite","Background"
"icr006492","Pandambili",3,1,"Topsoil",36.4405,-6.06394,"icr006492",62.268,3.7457,3.8285,17.1505,9.8139,0,0,0,2.8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr006493","Pandambili",3,1,"Subsoil",36.4405,-6.06394,"icr006493",78.6313,0,0,10.3226,6.2146,0,2.1432,0,2.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr006530","Pandambili",5,1,"Topsoil",36.4577,-6.11749,"icr006530",49.4723,8.7215,4.9445,6.7117,1.9889,0,2.6472,7.6492,5.2659,0,2.6641,0,0,0,0,0,0,0.5904,0,0,0,0,0,0,0,0,0,8.3572,0.4291,0,0.5574,0,0,0,0,0,0,0,0,0,0,0,7e-04
"icr006531","Pandambili",5,1,"Subsoil",36.4577,-6.11749,"icr006531",97.3451,0,0,2.3088,0,0,0,0,0.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr006570","Pandambili",7,2,"Topsoil",36.46458817,-6.06997013,"icr006570",88.5787,2.3913,0,5.3423,1.0221,0,0.765,0,1.9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr006571","Pandambili",7,2,"Subsoil",36.46458817,-6.06997013,"icr006571",94.0818,0,0,5.1901,0,0,0,0,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr006744","Pandambili",16,1,"Topsoil",36.5135,-6.05373,"icr006744",72.1321,0,1.8714,14.3404,4.786,0,2.4983,0,4.3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr006745","Pandambili",16,1,"Subsoil",36.5135,-6.05373,"icr006745",74.9965,3.7122,0,13.8378,4.2415,0,1.067,0,2.1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"icr020848","Kidatu",1,1,"Topsoil",37.26938248,-8.07403278,"icr020848",81.0494,2.3587,0,5.7076,0,0,4.9679,0,1.0151,0,0,0,0,4.9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr020849","Kidatu",1,1,"Subsoil",37.26938248,-8.07403278,"icr020849",90.0549,0,0,3.8537,0.7215,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04
"icr020888","Kidatu",3,1,"Topsoil",37.27035141,-8.02105045,"icr020888",76.9147,6.1629,0,10.4234,2.4695,0,4.0293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr020889","Kidatu",3,1,"Subsoil",37.27035141,-8.02105045,"icr020889",70.8846,13.4637,2.9452,7.4522,1.4882,0,1.9287,0,1.6718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1658,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04
"icr020908","Kidatu",4,1,"Topsoil",37.27236938,-8.00080681,"icr020908",51.7087,11.1298,5.231,25.4543,2.7716,0,1.9412,1.4351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3286,0,0,0,0,0,0,0,0,0,0,0,0,0,-3e-04
"icr020909","Kidatu",4,1,"Subsoil",37.27236938,-8.00080681,"icr020909",50.5084,11.3397,5.9922,26.1557,1.4887,0,0,2.4722,1.6853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3579,0,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04
"icr020970","Kidatu",7,3,"Topsoil",37.29229736,-8.02381229,"icr020970",37.8626,0,3.358,46.4631,4.5852,0,3.7635,3.7399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr020971","Kidatu",7,3,"Subsoil",37.29229736,-8.02381229,"icr020971",41.5983,0,4.4253,47.3876,3.4416,0,2.9103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,-3e-04
"icr021063","Kidatu",12,1,"Topsoil",37.31461716,-8.00514507,"icr021063",73.0485,6.2384,4.9885,10.5645,1.0359,0,1.7025,0,0.5402,0,1.7199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1617,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04
"icr021064","Kidatu",12,1,"Subsoil",37.31461716,-8.00514507,"icr021064",82.6213,3.9831,3.8438,8.129,0,0,0,0,0.1679,0,1.2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04
"icr021103","Kidatu",14,1,"Topsoil",37.33369827,-8.04930496,"icr021103",92.0695,0,0,4.4475,1.7254,0,1.7576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr021104","Kidatu",14,1,"Subsoil",37.33369827,-8.04930496,"icr021104",89.6325,0,0,5.7543,2.1481,0,2.4648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"icr024956","Itende",6,1,"Topsoil",34.19247818,-6.91006517,"icr024956",67.6782,7.2113,3.8744,16.5379,4.0031,0,0.6951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr024957","Itende",6,1,"Subsoil",34.19247818,-6.91006517,"icr024957",61.2077,6.2372,6.333,14.9341,3.8253,0,2.074,5.2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1662,0,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04
"icr024976","Itende",7,2,"Topsoil",34.19307327,-6.87918282,"icr024976",93.4142,0,0,2.8531,0,0,0,0,3.7324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr024977","Itende",7,2,"Subsoil",34.19307327,-6.87918282,"icr024977",89.8678,2.5591,0,3.1674,0,0,0,0,1.3577,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"icr024994","Itende",8,3,"Topsoil",34.19452667,-6.859828,"icr024994",59.3336,5.2404,6.0728,17.4364,4.1409,0,1.4398,3.3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04
"icr024995","Itende",8,3,"Subsoil",34.19452667,-6.859828,"icr024995",63.6929,8.8415,4.286,14.2052,1.8132,0,0,2.45,2.5441,0,0,0,0,0,0,0,0,0,0,0,0,0,2.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr030051","Dambidolo",2,6,"Topsoil",34.98833084,8.60195828,"icr030043",2.6398,13.2108,7.2469,1.5334,1.2573,5.4111,9.0671,16.8382,1.6412,0.7583,2.265,6.9351,3.8753,2.5544,2.5722,1.7452,1.2567,2.7378,9.8072,0,1.787,0,0,0,0,1.5008,0,0,0.9212,0,1.6421,0.7899,0,0,0,0,0,0,0,0,0,0,0.006
"icr030052","Dambidolo",2,6,"Subsoil",34.98833084,8.60195828,"icr030044",0.404,13.6934,10.1935,1.2959,1.2896,6.6507,6.469,21.8353,6.2895,0,1.1706,4.1093,3.6439,0,0,1.3018,1.1215,3.2128,9.493,0,0,1.8395,0,0.7572,0,1.7879,0.2629,0,0.7618,0,1.3609,0.7322,0,0,0,0,0,0,0.3177,0,0,0,0.0063
"icr030097","Dambidolo",4,8,"Topsoil",34.98268509,8.65556717,"icr030083",4.668,17.425,8.8562,1.2468,2.4902,5.0645,9.1923,18.8662,0,0.5223,0,4.2633,3.2642,0,1.2279,2.8845,1.5139,3.9005,8.6733,0,0,0,0,0,0,2.1034,0,0,0.8737,0,1.2513,1.0189,0,0,0,0,0,0,0.3165,0,0,0.3711,0.006
"icr030098","Dambidolo",4,8,"Subsoil",34.98268509,8.65556717,"icr030084",2.5981,20.1146,11.0629,1.5681,1.1305,3.6979,0.9487,22.0777,1.1453,0.796,0,5.5836,4.9084,0,0,3.0255,1.0867,4.8359,10.4866,0,0,0,0,0,0,2.0245,0,0,1.0515,0,1.1977,0.6522,0,0,0,0,0,0,0,0,0,0,0.0076
"icr030113","Dambidolo",5,7,"Topsoil",35.00011444,8.58142185,"icr030103",21.2556,4.5564,5.1528,1.1177,23.6321,3.1395,7.0208,0,8.5508,0,4.6061,2.0995,0,0,0,0,1.7863,0,0,0,0,4.5878,3.1409,0,0.6665,0,0,0,0,0,1.2675,0.4634,2.2598,4.3344,0,0,0,0,0,0,0.3606,0,0.0015
"icr030114","Dambidolo",5,7,"Subsoil",35.00011444,8.58142185,"icr030104",24.9708,3.5399,4.5026,0,24.0631,1.8316,5.4565,0,10.0717,0,4.2895,2.5572,0,0,0,0,1.3466,0,0,0,0,3.7275,4.1029,0,0.7379,0,0,0,0,0,1.128,0.564,2.2037,3.082,0,1.4352,0,0,0,0,0.3879,0,0.0014
"icr030123","Dambidolo",6,2,"Topsoil",35.00059891,8.59928799,"icr030123",39.8483,11.2634,5.4931,6.6002,12.0296,1.479,4.9403,0,5.8302,0,3.1254,4.0707,0,0,0,0,0,0,0,0,0,1.0678,3.5388,0,0,0,0,0,0.1182,0,0.5945,0,0,0,0,0,0,0,0,0,0,0,4e-04
"icr030124","Dambidolo",6,2,"Subsoil",35.00059891,8.59928799,"icr030124",40.513,12.3786,6.4777,8.445,12.9401,1.7608,4.2459,0,1.478,0,2.7419,4.2864,0,0,0,0,0,0,0,0,0,2.2882,2.0114,0,0,0,0,0,0.1112,0,0.3216,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr030127","Dambidolo",6,5,"Topsoil",34.99979401,8.59832192,"icr030123",39.8483,11.2634,5.4931,6.6002,12.0296,1.479,4.9403,0,5.8302,0,3.1254,4.0707,0,0,0,0,0,0,0,0,0,1.0678,3.5388,0,0,0,0,0,0.1182,0,0.5945,0,0,0,0,0,0,0,0,0,0,0,4e-04
"icr030128","Dambidolo",6,5,"Subsoil",34.99979401,8.59832192,"icr030124",40.513,12.3786,6.4777,8.445,12.9401,1.7608,4.2459,0,1.478,0,2.7419,4.2864,0,0,0,0,0,0,0,0,0,2.2882,2.0114,0,0,0,0,0,0.1112,0,0.3216,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr030131","Dambidolo",6,7,"Topsoil",35.00479126,8.60511303,"icr030123",39.8483,11.2634,5.4931,6.6002,12.0296,1.479,4.9403,0,5.8302,0,3.1254,4.0707,0,0,0,0,0,0,0,0,0,1.0678,3.5388,0,0,0,0,0,0.1182,0,0.5945,0,0,0,0,0,0,0,0,0,0,0,4e-04
"icr030132","Dambidolo",6,7,"Subsoil",35.00479126,8.60511303,"icr030124",40.513,12.3786,6.4777,8.445,12.9401,1.7608,4.2459,0,1.478,0,2.7419,4.2864,0,0,0,0,0,0,0,0,0,2.2882,2.0114,0,0,0,0,0,0.1112,0,0.3216,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr030133","Dambidolo",6,8,"Topsoil",34.99936295,8.6012516,"icr030123",39.8483,11.2634,5.4931,6.6002,12.0296,1.479,4.9403,0,5.8302,0,3.1254,4.0707,0,0,0,0,0,0,0,0,0,1.0678,3.5388,0,0,0,0,0,0.1182,0,0.5945,0,0,0,0,0,0,0,0,0,0,0,4e-04
"icr030134","Dambidolo",6,8,"Subsoil",34.99936295,8.6012516,"icr030124",40.513,12.3786,6.4777,8.445,12.9401,1.7608,4.2459,0,1.478,0,2.7419,4.2864,0,0,0,0,0,0,0,0,0,2.2882,2.0114,0,0,0,0,0,0.1112,0,0.3216,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr030137","Dambidolo",6,10,"Topsoil",34.99982834,8.60101509,"icr030123",39.8483,11.2634,5.4931,6.6002,12.0296,1.479,4.9403,0,5.8302,0,3.1254,4.0707,0,0,0,0,0,0,0,0,0,1.0678,3.5388,0,0,0,0,0,0.1182,0,0.5945,0,0,0,0,0,0,0,0,0,0,0,4e-04
"icr030138","Dambidolo",6,10,"Subsoil",34.99982834,8.60101509,"icr030124",40.513,12.3786,6.4777,8.445,12.9401,1.7608,4.2459,0,1.478,0,2.7419,4.2864,0,0,0,0,0,0,0,0,0,2.2882,2.0114,0,0,0,0,0,0.1112,0,0.3216,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr030145","Dambidolo",7,2,"Topsoil",35.00531006,8.62525272,"icr030143",27.9115,12.5373,6.9114,3.8854,1.1708,12.3466,12.5501,4.6494,2.8275,0,4.1439,0,2.2589,0,0,1.2847,0,0.6619,4.9322,0,0,0,0,0.3407,0,0.8972,0,0,0.2576,0,0.4301,0,0,0,0,0,0,0,0,0,0,0,0.0028
"icr030146","Dambidolo",7,2,"Subsoil",35.00531006,8.62525272,"icr030144",33.289,8.8674,8.6301,3.8129,1.3387,15.6515,4.4316,8.5433,0,0.5104,2.826,0,3.0542,0,0,1.4177,0,0.7297,4.1203,0,1.6727,0,0,0,0,0.8109,0,0,0.2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024
"icr030176","Dambidolo",8,8,"Topsoil",35.0014534,8.64603329,"icr030163",2.671,11.0266,10.2598,3.1276,2.3359,13.3104,18.5166,10.0259,0,0,3.1492,0,3.7982,6.7921,0.9104,2.2996,2.0577,1.3171,2.3697,0,0,0,0,1.2605,0.5435,0.8559,0.4337,0,0.8632,0,1.1448,0.9265,0,0,0,0,0,0,0,0,0,0,0.004
"icr030177","Dambidolo",8,8,"Subsoil",35.0014534,8.64603329,"icr030164",12.3339,15.3365,0,0,0,54.8446,0,0,0,0.6452,0,0,5.8761,0,0,1.0328,0,0,0,8.3178,0,0,0,0,0,0.9752,0,0,0.637,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04
"icr030190","Dambidolo",9,12,"Topsoil",35.0256424,8.58047676,"icr030183",24.7313,6.7425,6.8366,0.8673,14.0112,2.4413,5.2148,0,5.0741,0,5.3551,5.6084,2.4105,0,0,0,1.6125,0,0,1.5497,0,4.7966,3.9278,0,1.2238,0,0,0,0.312,0,1.5906,0.5202,2.1935,2.8252,0,0,0,0,0,0,0.1529,0,0.002
"icr030191","Dambidolo",9,12,"Subsoil",35.0256424,8.58047676,"icr030184",19.6816,6.689,7.3097,1.6324,14.5963,2.2288,2.8115,0,13.1755,0,4.7987,6.3998,1.8654,0,0,0,0,0.4902,0,1.6026,0,3.5026,3.3247,0,1.2686,0,0,0,0.3323,0,1.7885,0.6835,2.5791,2.9061,0,0,0,0,0,0,0.3306,0,0.0025
"icr030206","Dambidolo",10,5,"Topsoil",35.02694702,8.60710716,"icr030200",8.9091,21.1343,9.262,0.8957,1.3227,3.3045,3.7927,17.2676,1.5296,0,0,7.5535,4.017,0,0,0.7847,1.0129,4.2214,9.0954,0,0,0,0,0,0,1.8275,0.4577,0,0.9479,0,1.4171,0.7839,0,0,0,0,0,0,0.4568,0,0,0,0.006
"icr030207","Dambidolo",10,5,"Subsoil",35.02694702,8.60710716,"icr030201",7.1046,19.8685,8.9031,1.2847,1.6366,4.6967,12.0301,13.7572,0,0.5339,0,7.0466,3.0922,0,0,0,1.2118,3.9525,9.1816,0,0,0,0,0,0,2.1291,0.2602,0,0.7321,0,1.2748,0.8154,0,0,0,0,0,0,0,0,0,0.4832,0.0051
"icr030214","Dambidolo",10,9,"Topsoil",35.01977158,8.60314274,"icr030200",8.9091,21.1343,9.262,0.8957,1.3227,3.3045,3.7927,17.2676,1.5296,0,0,7.5535,4.017,0,0,0.7847,1.0129,4.2214,9.0954,0,0,0,0,0,0,1.8275,0.4577,0,0.9479,0,1.4171,0.7839,0,0,0,0,0,0,0.4568,0,0,0,0.006
"icr030215","Dambidolo",10,9,"Subsoil",35.01977158,8.60314274,"icr030201",7.1046,19.8685,8.9031,1.2847,1.6366,4.6967,12.0301,13.7572,0,0.5339,0,7.0466,3.0922,0,0,0,1.2118,3.9525,9.1816,0,0,0,0,0,0,2.1291,0.2602,0,0.7321,0,1.2748,0.8154,0,0,0,0,0,0,0,0,0,0.4832,0.0051
"icr030268","Dambidolo",13,6,"Topsoil",35.0459137,8.57730293,"icr030258",40.4657,5.1971,4.0939,9.926,19.6169,0.891,5.9941,0,2.0091,0,3.3253,3.7706,0,0,0,0,0,0,0,0,0,0,3.3928,0,0,0,0,0,0.1595,0,0.6004,0,0.3727,0,0,0,0,0,0,0,0.1848,0,1e-04
"icr030269","Dambidolo",13,6,"Subsoil",35.0459137,8.57730293,"icr030259",33.9226,4.4003,4.5816,13.6708,27.185,0.8389,3.9867,0,0,0,1.4682,4.4572,0,0,0,0,0,0.4037,0,0,0,0,4.3935,0,0,0,0,0,0,0,0.6914,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr030270","Dambidolo",13,7,"Topsoil",35.04312134,8.58223248,"icr030258",40.4657,5.1971,4.0939,9.926,19.6169,0.891,5.9941,0,2.0091,0,3.3253,3.7706,0,0,0,0,0,0,0,0,0,0,3.3928,0,0,0,0,0,0.1595,0,0.6004,0,0.3727,0,0,0,0,0,0,0,0.1848,0,1e-04
"icr030271","Dambidolo",13,7,"Subsoil",35.04312134,8.58223248,"icr030259",33.9226,4.4003,4.5816,13.6708,27.185,0.8389,3.9867,0,0,0,1.4682,4.4572,0,0,0,0,0,0.4037,0,0,0,0,4.3935,0,0,0,0,0,0,0,0.6914,0,0,0,0,0,0,0,0,0,0,0,1e-04
"icr030282","Dambidolo",14,4,"Topsoil",35.04640961,8.59956265,"icr030276",18.4687,3.9177,6.0911,1.4879,14.7409,5.9402,4.4826,8.6324,3.162,0,8.376,4.305,3.2135,0,0,0,4.1472,0.5955,0,5.5155,0,0,0,0,0.9153,0.8641,0,0,0.1532,0,1.238,0.6076,2.9788,0,0,0,0,0,0,0,0.1635,0,0.0033
"icr030283","Dambidolo",14,4,"Subsoil",35.04640961,8.59956265,"icr030277",12.0105,4.2236,7.1031,1.419,14.1485,7.4995,4.9631,9.8373,4.5853,0,9.4741,4.5225,3.94,0,0,0,3.4442,0.6956,0,5.3024,0,0,0,0,0.9656,0.8251,0,0,0.1342,0,1.4385,0.6886,2.7758,0,0,0,0,0,0,0,0,0,0.0035
"icr030300","Dambidolo",15,3,"Topsoil",35.04849625,8.62188721,"icr030296",26.1235,8.1654,3.7738,1.9728,11.0468,2.916,12.7115,3.2555,4.9875,0,4.7731,8.2762,2.4669,0,0,0,0,0.9636,0,0,0,0,5.2119,0,0.5852,0,0,0,0.2591,0,1.2991,0,1.2103,0,0,0,0,0,0,0,0,0,0.0017
"icr030301","Dambidolo",15,3,"Subsoil",35.04849625,8.62188721,"icr030297",21.1133,8.6162,5.4264,2.3006,10.6539,4.1193,9.1305,6.0652,4.9839,0,5.5229,8.1727,2.9368,0,0,0,0,1.1223,0,0,0,1.9312,3.6423,0,0.6937,0.5931,0,0,0.3725,0,1.3648,0,1.2366,0,0,0,0,0,0,0,0,0,0.0018
"icr030323","Dambidolo",16,5,"Topsoil",35.04421616,8.64572334,"icr030316",22.0513,5.4312,7.3786,2.5216,16.975,2.0771,9.9188,0,11.0205,0,4.6246,5.382,0,0,0,0,1.538,0,0,0,0,0,0,0,1.1157,0,0,0,0.2451,0,1.9265,0.6291,2.6428,4.0485,0,0,0,0,0,0,0.4719,0,0.0017
"icr030324","Dambidolo",16,5,"Subsoil",35.04421616,8.64572334,"icr030317",22.6566,5.2489,8.2715,2.4416,15.3789,1.344,5.4012,0,12.2407,0,5.9973,4.9053,0,4.37,0,0,0,0,0,0,0,0,0,0,1.015,0,0,0,0.1848,0,1.8013,0.6783,2.9397,3.3019,0,1.4484,0,0,0,0,0.3726,0,0.002
"icr030330","Dambidolo",16,9,"Topsoil",35.04863358,8.64678001,"icr030316",22.0513,5.4312,7.3786,2.5216,16.975,2.0771,9.9188,0,11.0205,0,4.6246,5.382,0,0,0,0,1.538,0,0,0,0,0,0,0,1.1157,0,0,0,0.2451,0,1.9265,0.6291,2.6428,4.0485,0,0,0,0,0,0,0.4719,0,0.0017
"icr030331","Dambidolo",16,9,"Subsoil",35.04863358,8.64678001,"icr030317",22.6566,5.2489,8.2715,2.4416,15.3789,1.344,5.4012,0,12.2407,0,5.9973,4.9053,0,4.37,0,0,0,0,0,0,0,0,0,0,1.015,0,0,0,0.1848,0,1.8013,0.6783,2.9397,3.3019,0,1.4484,0,0,0,0,0.3726,0,0.002
"icr033419","Mbalambala",5,7,"Topsoil",39.02086639,-0.155982,"icr033407",26.8093,0,0,7.6674,14.611,32.7288,0,0,4.5171,0,3.4316,3.1815,0,0,0,0.8713,2.0137,0.4268,0,0,0,0,0,0,3.0708,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011
"icr033420","Mbalambala",5,7,"Subsoil",39.02086639,-0.155982,"icr033408",18.9593,0,0,6.1891,12.671,36.3817,0,0,5.9053,0,2.2429,3.8133,0,0,0,0,1.2048,0.5813,0,0,0,0,0,0,2.9836,0.9949,0,0,0,0,0,0,0,0,0,1.5308,0,0,0.6199,5.9234,0,0,-0.0014
"icr033535","Mbalambala",13,6,"Topsoil",39.0616951,-0.15338799,"icr033525",74.7689,0,0,4.9287,7.6951,10.5063,0,0,0,0,0.8315,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6e-04
"icr033536","Mbalambala",13,6,"Subsoil",39.0616951,-0.15338799,"icr033526",62.1181,0,0,6.5092,10.206,15.0758,0,0,1.1566,0,0,0,0,0,0,0.7683,0,0,0,0,0,0,0,0,1.4773,0,0,2.6896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9e-04
"icr033592","Mbalambala",16,8,"Topsoil",39.06327438,-0.089757,"icr033582",6.6333,6.2489,7.4287,7.9668,21.4448,14.3881,5.4201,8.0312,4.1808,0,4.1246,2.1621,1.6526,0,1.1987,0,4.3352,0.5421,0,0,1.2885,0,0,0,0.6823,0.6823,0.3547,0,0.2364,0,0,0.5984,0.3984,0,0,0,0,0,0,0,0,0,0.0012
